jahr	bundesland	tote100k	baseline	excess
2021	Baden-Württemberg	1874.4954158819062	1775.6728854501316	0.05565356729920623
2021	Bayern	2018.4916175986448	1835.879005238012	0.09946876228750057
2021	Berlin	1802.162319370235	1758.2254658823538	0.024989316979225906
2021	Brandenburg	1944.5788630879288	1813.8683479846468	0.07206174320672831
2021	Bremen	2038.7712693564663	1929.5128006484483	0.05662489964891648
2021	Hamburg	1875.7295535717885	1749.5225700347291	0.07213795677671886
2021	Hessen	1946.2492582453149	1864.1815750239298	0.044023438661189296
2021	Mecklenburg-Vorpomme	2102.7258779872955	1852.998324724005	0.13476944362617616
2021	Niedersachsen	2061.71464606248	1909.663109409405	0.07962217833285745
2021	Nordrhein-Westfalen	2061.637990072308	1875.6503215051002	0.09915903110232382
2021	Rheinland-Pfalz	2079.5639822298035	1885.309394118366	0.1030359201081037
2021	Saarland	2175.3802096916233	2009.1999826712567	0.08270964983755769
2021	Sachsen	1820.2972133968092	1819.6518501117428	0.00035466305547782184
2021	Sachsen-Anhalt	2041.1935723579975	1934.5202609091239	0.05514199753004534
2021	Schleswig-Holstein	2015.7722047769405	1920.537664756079	0.04958743677279398
2021	Thüringen	1977.5527104560738	1967.1422220086329	0.00529218900950168
